departure,train_type,destination
05:42,普通,宇都宮
06:04,普通,宇都宮
06:19,普通,宇都宮
06:40,普通,宇都宮
07:01,普通,宇都宮
07:10,普通,小金井
07:17,快速ラビット,宇都宮
07:34,普通,宇都宮
07:50,普通,宇都宮
08:00,普通,小金井
08:11,普通,小金井
08:19,快速ラビット,宇都宮
08:30,普通,宇都宮
08:37,普通,小金井
08:44,普通,宇都宮
08:56,普通,宇都宮
09:00,普通,小金井
09:13,普通,宇都宮
09:17,普通,小金井
09:21,普通,宇都宮
09:29,普通,小金井
09:35,普通,小金井
09:42,普通,古河
09:48,快速,宇都宮
09:58,普通,宇都宮
10:13,普通,小金井
10:22,普通,宇都宮
10:26,普通,小金井
10:35,普通,古河
10:41,普通,宇都宮
10:57,普通,小金井
11:10,普通,宇都宮
11:14,快速,宇都宮
11:24,普通,小金井
11:30,普通,小金井
11:45,快速,宇都宮
11:52,普通,宇都宮
12:07,普通,古河
12:17,普通,宇都宮
12:32,普通,小金井
12:46,快速,宇都宮
12:54,普通,宇都宮
13:08,普通,古河
13:18,普通,宇都宮
13:29,普通,小金井
13:46,快速,宇都宮
13:51,普通,宇都宮
14:07,普通,古河
14:17,普通,宇都宮
14:30,普通,宇都宮
14:47,快速,宇都宮
14:51,普通,宇都宮
15:07,普通,古河
15:18,普通,宇都宮
15:31,普通,小金井
15:48,快速,宇都宮
15:52,普通,小金井
16:08,普通,古河
16:18,普通,宇都宮
16:29,普通,小金井
16:44,快速,宇都宮
16:50,普通,宇都宮
17:08,普通,宇都宮
17:19,普通,古河
17:27,普通,宇都宮
17:35,普通,古河
17:45,快速,宇都宮
17:51,普通,小金井
17:58,普通,宇都宮
18:11,普通,古河
18:18,普通,小金井
18:26,普通,宇都宮
18:34,普通,小金井
18:47,普通,宇都宮
18:51,快速ラビット,宇都宮
18:55,普通,宇都宮
19:01,普通,小金井
19:10,普通,宇都宮
19:18,普通,小金井
19:23,普通,宇都宮
19:30,普通,小金井
19:41,普通,小金井
19:47,普通,古河
19:52,快速ラビット,宇都宮
19:58,普通,宇都宮
20:11,普通,古河
20:18,普通,宇都宮
20:27,普通,小金井
20:34,普通,宇都宮
20:44,普通,宇都宮
20:52,普通,古河
21:00,普通,小金井
21:11,普通,宇都宮
21:18,普通,古河
21:26,普通,宇都宮
21:31,普通,小金井
21:46,普通,小金井
21:52,普通,宇都宮
22:04,普通,宇都宮
22:11,普通,小金井
22:24,普通,宇都宮
22:36,普通,小金井
22:48,普通,宇都宮
22:56,普通,小金井
23:07,普通,小金井
23:19,普通,宇都宮
23:39,普通,小金井
23:49,普通,宇都宮
00:02,普通,小金井
00:14,普通,小金井